NAME_2,NAME_3,NAME_4
Kiambu,Gatundu,Chania
Kiambu,Gatundu,Kiganjo
Kiambu,Gatundu,Mangu
Kiambu,Gatundu,Ndarugu
Kiambu,Gatundu,Ngenda
Kiambu,Githunguri,Githunguri
Kiambu,Githunguri,Ikinu
Kiambu,Githunguri,Komothai
Kiambu,Kiambaa,Kiambaa
Kiambu,Kiambaa,Kiambaas/Area
Kiambu,Kiambaa,Kihara
Kiambu,Kiambaa,Ndumberi
Kiambu,Kikuyu,Kabete
Kiambu,Kikuyu,Karai
Kiambu,Kikuyu,Kikuyu
Kiambu,Kikuyu,Kinoo
Kiambu,Kikuyu,Muguga
Kiambu,Kikuyu,Nyathuna
Kiambu,Lari,Gatamaiyu
Kiambu,Lari,Kijabe
Kiambu,Lari,Lari
Kiambu,Limuru,Limuru
Kiambu,Limuru,Ndeiya
Kiambu,Limuru,Ngecha
Kiambu,Limuru,Tigoni
Kiambu,Thika,Gatuanyaga
Kiambu,Thika,Juja
Kiambu,Thika,Ruiru
Kiambu,Thika,Thika
Kirinyaga,Gichugu,Baragwi
Kirinyaga,Gichugu,Kabare
Kirinyaga,Gichugu,Ngariama
Kirinyaga,Gichugu,NJUKI-INI
Kirinyaga,Mt. Kenya,Mt. Kenya
Kirinyaga,Mwea,Murinduko
Kirinyaga,Mwea,Mutithi
Kirinyaga,Mwea,Nyangati
Kirinyaga,Mwea,Tebere
Kirinyaga,Mwea,Thiba
Kirinyaga,Ndia,Inoi North
Kirinyaga,Ndia,Inoi South
Kirinyaga,Ndia,Kiine North
Kirinyaga,Ndia,Kiine South
Kirinyaga,Ndia,Mukure
Kirinyaga,Ndia,Mutira
Kirinyaga,Ndia,Mwerua
Machakos,Masinga,Ndithini
Murang'a,Gatanga,Gatanga
Murang'a,Gatanga,Kariara
Murang'a,Gatanga,Kihumbuini
Murang'a,Kandara,Gaichanjiru
Murang'a,Kandara,Ithiru
Murang'a,Kandara,Muruka
Murang'a,Kandara,Ruchu
Murang'a,Kangema,Aberdare Forest and National Park
Murang'a,Kangema,Gitugi
Murang'a,Kangema,Iyego
Murang'a,Kangema,Kamacharia
Murang'a,Kangema,Kanyenyaini
Murang'a,Kangema,Kiriti
Murang'a,Kangema,Kiru
Murang'a,Kigumo,Kamahuha
Murang'a,Kigumo,Kigumo
Murang'a,Kigumo,Kinyona
Murang'a,Kigumo,Muthithi
Murang'a,Kigumo,Nginda
Murang'a,Kiharu,Gaturi
Murang'a,Kiharu,Gikindu
Murang'a,Kiharu,Mbiri
Murang'a,Kiharu,Mugoiri
Murang'a,Kiharu,Murarandia
Murang'a,Kiharu,Weithaga
Murang'a,Makuyu,Ithaanga
Murang'a,Makuyu,Kakuzi
Murang'a,Makuyu,Kambiti
Murang'a,Makuyu,Makuyu
Murang'a,Makuyu,Mitumbiri
Murang'a,Makuyu,Samuru
Nyandarua,Kinangop,Engineer
Nyandarua,Kinangop,Magumu
Nyandarua,Kinangop,Njabini
Nyandarua,Kinangop,North Kinangop
Nyandarua,Kinangop,Nyakio
Nyandarua,Kipipiri,Geta
Nyandarua,Kipipiri,Kipipiri
Nyandarua,Kipipiri,Lereshwa
Nyandarua,Kipipiri,Wanjohi
Nyandarua,Ndaragwa,Kiriita
Nyandarua,Ndaragwa,Leshau
Nyandarua,Ndaragwa,Mathingira
Nyandarua,Ndaragwa,Ndaragwa
Nyandarua,Ndaragwa,Shamata
Nyandarua,Ol-Kalou,Dundori
Nyandarua,Ol-Kalou,Kaimbaga
Nyandarua,Ol-Kalou,OL-KALOU
Nyandarua,Ol-Kalou,Rurii
Nyandarua,Ol-Kalou,Tumaini
Nyandarua,Ol Joro Orok,Gathanji
Nyandarua,Ol Joro Orok,Ol Joro Orok
Nyeri,Kieni East,Gakawa
Nyeri,Kieni East,Kabaru
Nyeri,Kieni East,Naro Moru
Nyeri,Kieni West,Endarasha
Nyeri,Kieni West,Gatarakwa
Nyeri,Kieni West,Mweiga
Nyeri,Mathira,Iria-ini
Nyeri,Mathira,Karatina
Nyeri,Mathira,Kirimukuyu
Nyeri,Mathira,Konyu
Nyeri,Mathira,Magutu
Nyeri,Mathira,Ngorano
Nyeri,Mathira,Ruguru
Nyeri,Mt. Kenya Forest and National Park,Mt. Kenya Forest and National Park
Nyeri,Mukurweini,Gakindu
Nyeri,Mukurweini,Gikondi
Nyeri,Mukurweini,Githii
Nyeri,Mukurweini,Muhito
Nyeri,Mukurweini,Rutune
Nyeri,Municipality,Mukaro
Nyeri,Othaya,Chinga
Nyeri,Othaya,Iriaini
Nyeri,Othaya,Karima
Nyeri,Othaya,Mahiga
Nyeri,Tetu,Aguthi
Nyeri,Tetu,Muhoyas
Nyeri,Tetu,Tetu
Nyeri,Tetu,Thegenge
Kilifi,Bahari,Junju
Kilifi,Bahari,Mtwapa
Kilifi,Bahari,Ngerenya
Kilifi,Bahari,Roka
Kilifi,Bahari,Tezo
Kilifi,Bahari,Tukaungu/Mavueni
Kilifi,Ganze,Bamba
Kilifi,Ganze,Ganze
Kilifi,Ganze,Kauma
Kilifi,Ganze,Mwahera
Kilifi,Ganze,Ndigiria
Kilifi,Ganze,Sokoke
Kilifi,Ganze,Vitengeni
Kilifi,Kalolenli,Chonyi
